class3_code,substance_code
142,689902ATR
142,703701ATB
142,703702ATB
142,703703ATB
142,720001ACH
142,725201ATB
142,725202ATB
142,725401ATB
142,725701BIJ
142,726600ACH
142,734101BIJ
142,735701ATB
142,735800ATB
142,736901BIJ
142,737401ACH
142,739701BIJ
142,741201BIJ
149,112501ATB
149,152501ATB
149,152502ATB
149,209602ATB
149,209631ASY
149,216401ACH
149,216402ASS
149,216403ACH
149,216404ATB
149,216405ASS
149,216406ASS
149,216407ASS
149,216408ATB
149,216409ATB
149,216410ATB
149,216430ASY
149,216431ASY
149,216432ASY
149,216433ASY
149,251201ACS
149,251202ACS
149,374601ATB
149,374601ATD
149,374602ATB
149,374602ATD
149,374603AGN
149,374603ATB
149,374603ATD
149,388801BIJ
149,391703ATB
149,487001ATB
149,572901BIJ
149,572903BIJ
149,572904BIJ
149,659900ACH
149,659900ATB
149,670600ATB
211,107301ATB
211,107301ATR
211,107303ATR
211,107330BIJ
211,117903ATB
211,117904ATB
211,121330BIJ
211,144801ATB
211,144830BIJ
211,144831AEL
211,148230BIJ
211,245802ACH
211,389000BIJ
211,399600BIJ
212,107401ATB
212,107430BIJ
212,110201ATB
212,110202ATB
212,124801ATB
212,154430BIJ
212,154431BIJ
212,159302ATB
212,219501ATB
212,219502ATB
212,219503ACR
212,219504ACR
212,219505ACR
212,219901ATB
212,219904ATB
212,230402ATB
212,502101ACH
212,502102ACH
212,597401ATB
213,101501ATB
213,101502BIJ
213,106901ATB
213,112901ATB
213,163801ATB
213,163830BIJ
213,170801ATB
213,174403ATB
213,231101ATB
213,231102ATB
213,242001ATB
213,242002ATB
213,242003ATB
213,249401ATB
213,451302ATB
214,104201ATB
214,104202ATB
214,107601ATB
214,107602ATB
214,107603ATB
214,111402ATB
214,111403ATB
214,114001ACH
214,114002ACH
214,114003ACH
214,115101ATB
214,115102ATB
214,115103ATB
214,115104ATB
214,116801ATB
214,116803ATB
214,122601ATB
214,122602ATB
214,122603ATB
214,122604ATB
214,122901ATB
214,122902ATB
214,122903ATB
214,125001ATB
214,125002ATB
214,125003ATB
214,125004ACR
214,125004ATR
214,125005ATB
214,125006ACR
214,125006ATR
214,125007ACR
214,125007ATR
214,125008ACR
214,125008ATR
214,133001ATB
214,133002ATB
214,133003ATB
